Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
649329c80e8391c86534db8b,6275757da6d861932cb9beb4,APPROVED,2023-06-21T16:48:08.710000Z,2023-06-21T16:58:47.220000Z,2023-06-22T21:16:08.184000,2023-06-21T16:58:47.752420Z,639,C92BA3A3,3132,47,Male,White,United States,United States,United States,English,No,Part-Time
649329c89e2bdb6605edd3e4,5f4df2b4bdb2449bd751ce51,APPROVED,2023-06-21T16:48:17.121000Z,2023-06-21T17:02:48.975000Z,2023-06-22T21:16:08.316000,2023-06-21T17:02:49.796074Z,872,C92BA3A3,2278,37,Male,White,United States,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
649329ce19d5bdd17e7582a5,5c59a53dd739b90001a252d7,APPROVED,2023-06-21T16:48:28.015000Z,2023-06-21T16:55:14.330000Z,2023-06-22T21:16:08.448000,2023-06-21T16:55:14.863806Z,407,C92BA3A3,84,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329d1024f57f6092a3abf,6429ffe11a9806a9a95ad072,APPROVED,2023-06-21T16:48:28.389000Z,2023-06-21T17:01:48.105000Z,2023-06-22T21:19:00.479000,2023-06-21T17:01:48.649726Z,800,C92BA3A3,680,71,Female,White,United States,United States,United States,English,No,Other
649329d20e8391c86534db90,6091ab55ea2e97910519f8e7,APPROVED,2023-06-21T16:48:20.873000Z,2023-06-21T16:55:03.144000Z,2023-06-22T21:19:00.640000,2023-06-21T16:55:03.696394Z,403,C92BA3A3,4135,28,Female,Black,United States,United States,United States,English,Yes,Full-Time
649329ddb008a205bdcf7d61,60442cee4664dd4aa31a9f34,APPROVED,2023-06-21T16:48:33.373000Z,2023-06-21T16:53:12.105000Z,2023-06-22T21:19:00.785000,2023-06-21T16:53:12.611084Z,279,C92BA3A3,1100,40,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
649329dea0e7112a5b32fad2,60fc49d9f782769302ca5b35,APPROVED,2023-06-21T16:48:34.186000Z,2023-06-21T16:58:15.897000Z,2023-06-22T21:19:00.936000,2023-06-21T16:58:16.507125Z,582,C92BA3A3,188,20,Female,White,United States,United States,United States,English,Yes,Other
649329e1bc01944ffa71a68b,6470a5eff2f118fd3e0385d5,APPROVED,2023-06-21T16:48:39.624000Z,2023-06-21T16:57:35.074000Z,2023-06-22T21:19:01.109000,2023-06-21T16:57:35.615884Z,536,C92BA3A3,241,26,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
649329e1c7b900c53331b054,648b7c407111564d3ae3c4ce,APPROVED,2023-06-21T16:48:36.060000Z,2023-06-21T17:06:31.799000Z,2023-06-22T21:16:08.589000,2023-06-21T17:06:32.271381Z,1076,C92BA3A3,54,19,Male,Other,United States,United States,United States,English,Yes,DATA_EXPIRED
649329e291c8d3e8182f67a5,5dbbfa90c486791b1bd03292,APPROVED,2023-06-21T16:48:38.563000Z,2023-06-21T16:52:58.507000Z,2023-06-22T21:16:08.732000,2023-06-21T16:53:01.381297Z,260,C92BA3A3,1279,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
649329e2e39422e083287568,5ff1fd761d6cb468718cdbeb,APPROVED,2023-06-21T16:48:37.532000Z,2023-06-21T16:56:35.999000Z,2023-06-22T21:19:01.308000,2023-06-21T16:56:36.565163Z,479,C92BA3A3,2928,53,Female,White,United States,United States,United States,English,No,Part-Time
649329e32a09e6a124fe5b4b,5efc24acc8e96b1e45596223,APPROVED,2023-06-21T16:48:39.400000Z,2023-06-21T16:53:15.619000Z,2023-06-22T21:16:08.870000,2023-06-21T16:53:16.122374Z,277,C92BA3A3,1764,34,Male,White,United States,United States,United States,English,No,Full-Time
649329e5e39422e08328756a,57ed5868717b6800019efa12,APPROVED,2023-06-21T16:48:40.669000Z,2023-06-21T17:03:15.844000Z,2023-06-22T21:19:01.875000,2023-06-21T17:03:21.898873Z,876,C92BA3A3,1075,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329e79d688d20b3701651,647a1ba880ac431642768f36,APPROVED,2023-06-21T16:48:44.992000Z,2023-06-21T16:59:57.411000Z,2023-06-22T21:19:02.030000,2023-06-21T16:59:58.615553Z,673,C92BA3A3,85,61,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329e92d1a0760c7fa91bd,5e13a74642a6e8000cfc3f0d,APPROVED,2023-06-21T16:48:44.103000Z,2023-06-21T16:52:27.734000Z,2023-06-22T21:16:09.010000,2023-06-21T16:52:28.267623Z,224,C92BA3A3,850,41,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
